Referencia;Cantidad con signo;Entradas;Salidas;Cantidad Abonada;Precio;Importe;Existencia;Precio medio;Valor del inventario oficial;Escalón de precio;Codigo Cliente;Codigo Factura;Codigo Pedido;Fecha Pedido;Hora Pedido;Fecha Factura;Serie Factura;Codigo Presupuesto;Codigo Comercial;Empresa Emisora;Pedido Web;Referencia Proveedor;Referencia Fabricante;Codigo Tarifa;Nombre Tarifa;Su Num Pedido
PH 9293;-1;0;1;0;2877.9700;2877.9700;3;1473.4596;4420.3788;3;57160;04-M/21-00953;01/04-M/21-01071;14-12-2021;13:35:21;14-12-2021;18;;527;4;No;GALLEON II 3/3-3/1-20KVA/20KW;;8;NPVM;PED2021A27471
PH 9260;-1;0;1;0;860.5100;860.5100;39;572.8160;22339.8240;3;57160;04-M/21-00935;01/04-M/21-01049;3-12-2021;9:17:57;3-12-2021;18;;527;4;No;P6T - WINNER PRO+ 6K;;8;NPVM;PED2021A26840
PH 9273;1;1;0;0;1984.2600;-1885.0500;6;1158.6816;6952.0896;3;57160;04-M/21-00918;01/04-M/21-01034;30-11-2021;13:07:05;30-11-2021;18;;527;4;No;GALLEON II 3/3-10K;;8;NPVM;
PH 9273;1;1;0;0;1984.2600;-1885.0500;6;1158.6816;6952.0896;3;57160;04-M/21-00918;01/04-M/21-01034;30-11-2021;13:07:05;30-11-2021;18;;527;4;No;GALLEON II 3/3-10K;;8;NPVM;
PH 9210;-4;0;4;0;150.9000;603.6000;4;109.2697;437.0788;3;57160;04-M/21-00917;01/04-M/21-01027;30-11-2021;9:17:32;30-11-2021;18;;527;4;No;1PE-C001401-00G;FRIGATE 1000VA/800W;8;NPVM;PED2021A1495C
PH 9220;-2;0;2;0;221.5000;443.0000;75;149.9139;11243.5425;3;57160;04-M/21-00917;01/04-M/21-01027;30-11-2021;9:17:32;30-11-2021;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;PED2021A1495C
PH 9408;-20;0;20;0;31.1100;622.2000;589;23.7051;13962.3039;3;57160;04-M/21-00917;01/04-M/21-01027;30-11-2021;9:17:32;30-11-2021;18;;527;4;No;P8B(APEX 800);APEX 800;8;NPVM;PED2021A1495C
PH 9420;-2;0;2;0;87.5700;175.1400;67;60.5928;4059.7176;3;57160;04-M/21-00917;01/04-M/21-01027;30-11-2021;9:17:32;30-11-2021;18;;527;4;No;P2B-APEX;VESTA 2000 LCD;8;NPVM;PED2021A1495C
PH 7266;-10;0;10;0;24.3900;243.9000;787;19.3843;15255.4441;3;57160;04-M/21-00917;01/04-M/21-01027;30-11-2021;9:17:32;30-11-2021;18;;527;4;No;1PE-C001023-00G-CITY600;;8;NPVM;PED2021A1495C
PH 9465;-10;0;10;0;37.3900;373.9000;296;28.1929;8345.0984;3;57160;04-M/21-00917;01/04-M/21-01027;30-11-2021;9:17:32;30-11-2021;18;;527;4;No;P6N;VESTA 650 LCD;8;NPVM;PED2021A1495C
LB 5606;-4;0;4;0;7.2100;28.8400;0;5.2459;0.0000;3;57160;04-M/21-00917;01/04-M/21-01027;30-11-2021;9:17:32;30-11-2021;18;;527;4;No;AK-1002-B;;8;NPVM;PED2021A1495C
RF 2011;-20;0;20;0;3.3200;66.4000;0;2.4729;0.0000;3;57160;04-M/21-00862;01/04-M/21-00962;5-11-2021;12:43:30;5-11-2021;18;;527;4;No;#04790;;8;NPVM;PED2021A1545C
