Serie, ejercicio y nº factura;Fecha;Base general;Beneficio;Total factura
03-N/15-02615;2015-06-15;79.00;24.51;94.63
03-N/15-02603;2015-06-12;3.00;3.00;3.63
03-N/15-02578;2015-06-11;24.80;18.54;29.71
03-N/15-02419;2015-06-03;166.80;84.85;199.81
03-N/15-02385;2015-06-01;148.86;59.76;178.32
03-N/15-02259;2015-05-26;114.20;63.06;136.80
03-N/15-02181;2015-05-20;91.49;42.14;109.60
03-N/15-02167;2015-05-19;223.20;53.38;267.37
03-N/15-02089;2015-05-13;54.90;6.70;65.76
03-N/15-02055;2015-05-12;39.15;25.63;46.90
03-N/15-01982;2015-05-06;169.98;52.25;203.62
03-N/15-01950;2015-05-05;75.18;47.43;90.06
03-N/15-01843;2015-04-28;-48.41;-0.76;-58.58
03-N/15-01800;2015-04-24;108.02;36.89;129.40
03-N/15-01610;2015-04-14;210.15;77.44;251.74
03-N/15-01609;2015-04-14;110.70;42.11;132.60
03-N/15-01507;2015-04-08;37.05;22.65;44.38
03-N/15-01472;2015-04-06;108.02;33.07;129.40
03-N/15-01373;2015-03-26;33.98;25.75;40.70
03-N/15-01202;2015-03-18;35.40;17.46;42.41
03-N/15-01153;2015-03-16;171.90;54.75;205.92
03-N/15-01088;2015-03-11;43.00;24.43;51.51
03-N/15-01057;2015-03-10;44.70;28.26;53.54
03-N/15-00694;2015-02-19;128.46;53.54;153.89
03-N/15-00620;2015-02-18;89.45;36.73;107.16
03-N/15-00531;2015-02-11;317.52;105.56;380.35
03-N/15-00463;2015-02-06;123.25;79.02;147.64
03-N/15-00444;2015-02-05;83.70;29.04;100.26
03-N/15-00427;2015-02-04;61.00;33.78;73.07
03-N/15-00258;2015-01-23;156.62;67.87;187.61
03-N/15-00253;2015-01-23;36.40;15.87;43.61
03-N/15-00252;2015-01-23;334.74;94.99;400.98
03-N/15-00170;2015-01-19;192.15;54.90;230.18
03-N/15-00150;2015-01-16;30.60;17.24;36.65
03-N/15-00149;2015-01-16;9.72;5.84;11.64
03-N/14-04066;2014-12-26;112.05;45.83;134.23
03-N/14-04031;2014-12-22;253.28;73.79;303.41
03-N/14-03921;2014-12-15;49.20;33.11;58.94
03-N/14-03853;2014-12-10;192.35;36.81;230.42
03-N/14-03819;2014-12-09;183.66;63.70;220.00
03-N/14-03583;2014-11-25;161.41;55.09;193.36
03-N/14-03497;2014-11-21;-11.10;-11.10;-13.43
03-N/14-03488;2014-11-20;105.45;64.99;126.32
03-N/14-03415;2014-11-17;103.85;57.45;124.40
03-N/14-03290;2014-11-11;312.42;75.37;374.25
03-N/14-03206;2014-11-06;98.01;43.94;117.41
03-N/14-03189;2014-11-05;150.05;39.01;179.75
03-N/14-03060;2014-10-29;1446.80;361.91;1733.12
03-N/14-02978;2014-10-27;76.80;11.45;92.00
03-N/14-02921;2014-10-23;46.00;28.94;55.10
03-N/14-02874;2014-10-22;315.72;117.92;378.20
03-N/14-02831;2014-10-21;88.35;43.56;105.84
03-N/14-02789;2014-10-20;247.70;64.04;296.72
03-N/14-02766;2014-10-17;244.88;30.31;293.34
03-N/14-02682;2014-10-14;112.08;44.16;134.26
03-N/14-02664;2014-10-13;104.80;18.36;125.54
03-N/14-02637;2014-10-10;31.20;21.19;37.38
03-N/14-02617;2014-10-09;262.72;89.16;314.71
03-N/14-02587;2014-10-08;318.27;90.81;381.26
03-N/14-02390;2014-10-02;93.76;15.18;112.31
03-N/14-02217;2014-09-26;202.52;91.91;242.59
03-N/14-02028;2014-09-23;480.57;168.33;575.67
03-N/14-01764;2014-09-10;134.10;31.88;160.64
03-N/14-01719;2014-09-05;110.10;10.45;131.89
03-N/14-01671;2014-09-02;211.16;66.08;252.95
03-N/14-01650;2014-09-01;277.38;80.82;332.28
03-N/14-01628;2014-08-28;250.56;89.42;300.14
03-N/14-01614;2014-08-26;87.00;46.40;104.22
03-N/14-01473;2014-08-06;222.07;79.98;266.02
03-N/14-01456;2014-08-05;124.75;60.42;149.44
03-N/14-01434;2014-08-01;117.00;9.74;140.15
03-N/14-01414;2014-07-30;453.68;94.30;543.46
03-N/14-01403;2014-07-29;103.89;35.58;124.45
03-N/14-01368;2014-07-24;147.00;51.41;176.09
03-N/14-01264;2014-07-16;113.24;50.09;135.65
03-N/14-01165;2014-07-04;206.44;60.84;247.30
03-N/14-01162;2014-07-04;413.12;121.41;494.88
03-N/14-01122;2014-07-01;47.50;27.18;56.91
03-N/14-01063;2014-06-25;102.24;43.27;122.48
03-N/14-01011;2014-06-19;133.68;67.90;160.13
03-N/14-00991;2014-06-18;101.90;41.86;122.06
03-N/14-00971;2014-06-17;287.16;87.47;343.99
03-N/14-00930;2014-06-12;36.06;26.02;43.20
03-N/14-00888;2014-06-11;308.38;133.39;369.41
03-N/14-00861;2014-06-09;145.08;52.67;173.79
03-N/14-00706;2014-06-03;36.50;21.18;43.73
03-N/14-00632;2014-05-30;301.94;46.02;361.69
03-N/14-00605;2014-05-28;60.58;33.84;72.56
02-N/14-04343;2014-05-20;57.63;38.21;69.03
02-N/14-04323;2014-05-19;221.18;56.03;264.95
02-N/14-04180;2014-05-13;347.94;69.44;416.80
02-N/14-04091;2014-05-09;208.14;48.88;249.33
02-N/14-03922;2014-05-05;141.68;82.00;169.71
02-N/14-03852;2014-04-30;20.68;13.05;24.77
02-N/14-03535;2014-04-15;103.80;19.96;124.34
02-N/14-03495;2014-04-14;51.00;31.82;61.09
02-N/14-03430;2014-04-10;515.69;255.70;617.74
02-N/14-03347;2014-04-08;78.77;42.24;94.36
02-N/14-03268;2014-04-04;21.66;14.33;25.94
02-N/14-03197;2014-04-03;356.76;117.09;427.36
02-N/14-03141;2014-04-02;373.38;117.64;447.28
02-N/14-02982;2014-03-27;349.08;114.98;418.16
02-N/14-02907;2014-03-25;150.70;26.61;180.52
02-N/14-02864;2014-03-24;200.23;51.62;239.86
02-N/14-02711;2014-03-19;-34.85;-34.85;-42.17
02-N/14-02664;2014-03-17;207.08;90.88;248.06
02-N/14-02498;2014-03-11;488.71;96.74;585.42
02-N/14-02367;2014-03-06;230.42;105.29;276.03
02-N/14-02230;2014-03-03;95.20;34.58;114.04
02-N/14-02204;2014-02-28;132.00;34.54;158.12
02-N/14-02154;2014-02-27;118.64;36.68;142.11
02-N/14-02117;2014-02-26;51.40;23.57;61.58
02-N/14-01925;2014-02-20;202.45;60.19;242.52
02-N/14-01828;2014-02-19;408.14;50.08;488.91
02-N/14-01793;2014-02-18;19.50;12.66;23.37
02-N/14-01747;2014-02-17;207.97;121.08;249.13
02-N/14-01700;2014-02-14;105.08;51.97;125.88
02-N/14-01666;2014-02-14;247.34;127.55;296.29
02-N/14-01652;2014-02-13;269.44;63.31;322.77
02-N/14-01588;2014-02-12;26.25;15.95;31.45
02-N/14-01403;2014-02-07;58.30;21.55;69.84
02-N/14-01308;2014-02-05;232.10;11.18;278.03
02-N/14-01225;2014-02-04;140.88;80.90;168.76
02-N/14-01191;2014-02-03;150.20;75.46;179.93
02-N/14-01064;2014-01-30;43.55;27.06;52.16
02-N/14-00888;2014-01-27;342.20;74.04;409.92
02-N/14-00773;2014-01-23;211.80;64.29;253.71
02-N/14-00718;2014-01-22;116.30;71.55;139.32
02-N/14-00588;2014-01-20;466.25;111.02;558.52
02-N/14-00361;2014-01-14;332.02;86.59;397.73
02-N/14-00296;2014-01-13;162.90;17.34;195.14
02-N/14-00248;2014-01-10;114.60;29.60;137.27
02-N/14-00089;2014-01-07;329.78;24.75;395.04
02-N/14-00056;2014-01-03;213.18;43.52;255.37
